Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
n,0,1,1,1,0.0,0.0,8071.31713,0.00046,1008664.91582,0.00049,782.347,0.0
H,1,0,1,-1,0.0,0.0,7288.97061,9e-05,1007825.03224,9e-05,,
H,1,1,2,0,1112.283,0.0,13135.72176,0.00011,2014101.77811,0.00012,,
H,1,2,3,1,2827.265,0.0,14949.80993,0.00022,3016049.28199,0.00023,18.592,0.0
He,2,1,3,-1,2572.68,0.0,14931.21793,0.00021,3016029.32265,0.00022,-13736.0,2000.0
Li,3,0,3,-3,-2267.0,667.0,28667.0,2000.0,3030775.0,2147.0,,
H,1,3,4,2,1720.449,25.0,24621.127,100.0,4026431.868,107.354,22196.211,100.0
He,2,2,4,0,7073.915,0.0,2424.91561,6e-05,4002603.25413,6e-05,-22898.273,212.132
Li,3,1,4,-2,1153.76,53.033,25323.189,212.132,4027185.562,227.733,,
H,1,4,5,3,1336.359,17.889,32892.444,89.443,5035311.493,96.02,21661.211,91.652
He,2,3,5,1,5512.132,4.0,11231.233,20.0,5012057.224,21.47,-447.654,53.852
Li,3,2,5,-1,5266.132,10.0,11678.886,50.0,5012537.8,53.677,-25460.0,2003.0
Be,4,1,5,-3,18.0,401.0,37139.0,2003.0,5039870.0,2150.0,,
H,1,5,6,4,961.639,42.354,41875.721,254.127,6044955.437,272.816,24283.626,254.127
He,2,4,6,2,4878.519,0.009,17592.095,0.053,6018885.891,0.057,3505.216,0.053
Li,3,3,6,0,5332.331,0.0,14086.87895,0.00144,6015122.88742,0.00155,-4288.154,5.448
Be,4,2,6,-2,4487.247,0.908,18375.033,5.448,6019726.409,5.848,-28945.0,2003.0
B,5,1,6,-4,-467.0,334.0,47320.0,2003.0,6050800.0,2150.0,,
H,1,6,7,5,940.0,143.0,49135.0,1004.0,7052749.0,1078.0,23062.0,1004.0
He,2,5,7,3,4123.057,1.08,26073.126,7.559,7027990.654,8.115,11166.021,7.559
Li,3,4,7,1,5606.439,0.001,14907.10529,0.00423,7016003.43666,0.00454,-861.893,0.071
Be,4,3,7,-1,5371.548,0.01,15768.999,0.071,7016928.717,0.076,-11907.551,25.15
B,5,2,7,-3,3558.705,3.593,27676.55,25.15,7029712.0,27.0,,
He,2,6,8,4,3924.52,0.011,31609.681,0.089,8033934.39,0.095,10663.878,0.1
Li,3,5,8,2,5159.712,0.006,20945.804,0.047,8022486.246,0.05,16004.133,0.059
Be,4,4,8,0,7062.435,0.004,4941.671,0.035,8005305.102,0.037,-17979.896,1.0
B,5,3,8,-2,4717.155,0.125,22921.567,1.0,8024607.316,1.073,-12142.701,18.27
C,6,2,8,-4,3101.524,2.28,35064.268,18.243,8037643.042,19.584,,
He,2,7,9,5,3349.037,5.202,40935.826,46.816,9043946.419,50.259,15980.924,46.817
Li,3,6,9,3,5037.768,0.021,24954.902,0.186,9026790.191,0.2,13606.449,0.201
Be,4,5,9,1,6462.668,0.009,11348.453,0.077,9012183.066,0.082,-1068.035,0.899
B,5,4,9,-1,6257.07,0.1,12416.488,0.903,9013329.649,0.969,-16494.484,2.319
C,6,3,9,-3,4337.423,0.237,28910.972,2.137,9031037.207,2.293,,
He,2,8,10,6,2995.134,9.285,49197.143,92.848,10052815.308,99.676,16144.519,93.715
Li,3,7,10,4,4531.351,1.272,33052.624,12.721,10035483.453,13.656,20445.136,12.722
Be,4,6,10,2,6497.63,0.008,12607.488,0.081,10013534.695,0.086,556.878,0.082
B,5,5,10,0,6475.083,0.002,12050.609,0.015,10012936.862,0.016,-3648.062,0.069
C,6,4,10,-2,6032.042,0.007,15698.672,0.07,10016853.218,0.075,-23101.355,400.0
N,7,3,10,-4,3643.672,40.0,38800.026,400.0,10041653.543,429.417,,
Li,3,8,11,5,4155.381,0.056,40728.254,0.615,11043723.581,0.66,20551.087,0.659
Be,4,7,11,3,5952.54,0.022,20177.167,0.238,11021661.081,0.255,11509.46,0.238
B,5,6,11,1,6927.732,0.001,8667.707,0.012,11009305.166,0.013,-1981.689,0.061
C,6,5,11,-1,6676.456,0.005,10649.396,0.06,11011432.597,0.064,-13654.163,46.154
N,7,4,11,-3,5364.046,4.196,24303.559,46.154,11026090.945,49.548,,
Li,3,9,12,6,3791.6,2.501,49009.571,30.006,12052613.941,32.213,23931.812,30.067
Be,4,8,12,4,5720.722,0.159,25077.76,1.909,12026922.083,2.048,11708.363,2.321
B,5,7,12,2,6631.223,0.11,13369.397,1.321,12014352.638,1.418,13369.397,1.321
C,6,6,12,0,7680.144,0.0,0.0,0.0,12000000.0,0.0,-17338.068,1.0
N,7,5,12,-2,6170.109,0.083,17338.068,1.0,12018613.182,1.073,-14576.544,24.021
O,8,4,12,-4,4890.202,2.0,31914.613,24.0,12034261.747,25.765,,
Li,3,10,13,7,3507.63,5.385,56980.888,70.003,13061171.503,75.15,23321.812,70.739
Be,4,9,13,5,5241.435,0.783,33659.077,10.18,13036134.507,10.929,17097.13,10.23
B,5,8,13,3,6496.419,0.077,16561.947,1.0,13017779.981,1.073,13436.938,1.0
C,6,7,13,1,7469.849,0.0,3125.00888,0.00021,13003354.83521,0.00023,-2220.472,0.27
N,7,6,13,-1,7238.863,0.021,5345.481,0.27,13005738.609,0.289,-17769.951,9.53
O,8,5,13,-3,5811.763,0.733,23115.432,9.526,13024815.437,10.226,,
Be,4,10,14,6,4993.897,9.446,39954.498,132.245,14042892.92,141.97,16290.813,133.936
B,5,9,14,4,6101.644,1.515,23663.685,21.213,14025404.012,22.773,20643.792,21.213
C,6,8,14,2,7520.319,0.0,3019.89278,0.00376,14003241.98843,0.00403,156.476,0.004
N,7,7,14,0,7475.614,0.0,2863.41672,0.00019,14003074.00446,0.00021,-5144.364,0.025
O,8,6,14,-2,7052.278,0.002,8007.781,0.025,14008596.706,0.027,-23956.622,41.119
F,9,5,14,-4,5285.208,2.937,31964.402,41.119,14034315.199,44.142,,
Be,4,11,15,7,4540.97,11.053,49825.815,165.797,15053490.215,177.99,20867.573,167.126
B,5,10,15,5,5879.985,1.402,28958.242,21.032,15031087.953,22.578,19085.098,21.047
C,6,9,15,3,7100.169,0.053,9873.144,0.8,15010599.256,0.858,9771.705,0.8
N,7,8,15,1,7699.46,0.0,101.43871,0.0006,15000108.89894,0.00065,-2754.166,0.491
O,8,7,15,-1,7463.692,0.033,2855.605,0.491,15003065.618,0.526,-13711.146,14.009
F,9,6,15,-3,6497.459,0.933,16566.751,14.0,15017785.139,15.029,-23648.622,68.138
Ne,10,5,15,-5,4868.728,4.446,40215.373,66.684,15043172.98,71.588,,
Be,4,12,16,8,4285.285,10.362,57447.132,165.797,16061672.036,177.99,20334.623,167.608
B,5,11,16,6,5507.302,1.536,37112.51,24.569,16039841.92,26.375,23418.378,24.828
C,6,10,16,4,6922.054,0.224,13694.132,3.578,16014701.256,3.84,8010.225,4.254
N,7,9,16,2,7373.796,0.144,5683.907,2.301,16006101.925,2.47,10420.908,2.301
O,8,8,16,0,7976.206,0.0,-4737.00135,0.00016,15994914.6196,0.00017,-15417.254,8.321
F,9,7,16,-2,6963.731,0.52,10680.253,8.321,16011465.723,8.932,-13306.523,22.106
Ne,10,6,16,-4,6083.177,1.28,23986.776,20.48,16025750.864,21.986,,
B,5,12,17,7,5269.667,12.006,43716.317,204.104,17046931.399,219.114,22684.419,204.841
C,6,11,17,5,6558.024,1.021,21031.898,17.365,17022578.672,18.641,13161.82,22.946
N,7,10,17,3,7286.229,0.882,7870.079,15.0,17008448.877,16.103,8678.842,15.0
O,8,9,17,1,7750.728,0.0,-808.76348,0.00066,16999131.75664,0.0007,-2760.465,0.248
F,9,8,17,-1,7542.328,0.015,1951.702,0.248,17002095.238,0.266,-14548.746,0.432
Ne,10,7,17,-3,6640.499,0.021,16500.447,0.354,17017713.959,0.38,-18672.766,1001.356
Na,11,6,17,-5,5496.08,58.903,35173.214,1001.356,17037760.0,1075.0,,
B,5,13,18,8,4976.63,11.342,51792.634,204.165,18055601.682,219.18,26873.37,206.357
C,6,12,18,6,6426.131,1.667,24919.264,30.0,18026751.932,32.206,11806.096,35.282
N,7,11,18,4,7038.562,1.032,13113.168,18.57,18014077.565,19.935,13895.984,18.57
O,8,10,18,2,7767.097,0.0,-782.8156,0.00071,17999159.61284,0.00076,-1655.929,0.463
F,9,9,18,0,7631.638,0.026,873.113,0.463,18000937.325,0.497,-4444.501,0.589
Ne,10,8,18,-2,7341.257,0.02,5317.614,0.363,18005708.693,0.39,-19720.374,93.882
Na,11,7,18,-4,6202.217,5.216,25037.988,93.881,18026879.386,100.785,,
B,5,14,19,9,4719.634,27.651,59770.244,525.363,19064166.0,564.0,27356.492,534.496
C,6,13,19,7,6118.273,5.178,32413.752,98.389,19034797.596,105.625,16557.471,99.748
N,7,12,19,5,6948.543,0.863,15856.282,16.404,19017022.419,17.61,12523.424,16.614
O,8,11,19,3,7566.495,0.139,3332.858,2.637,19003577.97,2.83,4820.302,2.637
F,9,10,19,1,7779.018,0.0,-1487.4442,0.00086,18998403.16288,0.00093,-3239.494,0.16
Ne,10,9,19,-1,7567.343,0.008,1752.05,0.16,19001880.903,0.171,-11177.34,10.536
Na,11,8,19,-3,6937.885,0.554,12929.39,10.535,19013880.272,11.309,-18898.998,51.099
Mg,12,7,19,-5,5902.025,2.632,31828.389,50.001,19034169.182,53.678,,
B,5,15,20,10,4453.0,40.0,68450.0,800.0,20073484.0,859.0,30946.0,833.0
C,6,14,20,8,5961.435,11.531,37503.563,230.625,20040261.732,247.585,15737.067,243.746
N,7,13,20,6,6709.171,3.945,21766.496,78.894,20023367.295,84.696,17970.324,78.899
O,8,12,20,4,7568.57,0.044,3796.172,0.885,20004075.358,0.95,3813.635,0.885
F,9,11,20,2,7720.134,0.002,-17.463,0.03,19999981.252,0.031,7024.467,0.03
Ne,10,10,20,0,8032.24,0.0,-7041.93055,0.00157,19992440.17619,0.00168,-13892.535,1.114
Na,11,9,20,-2,7298.496,0.056,6850.604,1.114,20007354.426,1.195,-10627.088,2.171
Mg,12,8,20,-4,6728.025,0.093,17477.692,1.863,20018763.075,2.0,,
B,5,16,21,11,4203.0,43.0,77330.0,900.0,21083017.0,966.0,31687.0,1079.0
C,6,15,21,9,5674.0,28.0,45643.0,596.0,21049000.0,640.0,20411.0,611.0
N,7,14,21,7,6609.015,6.383,25231.913,134.048,21027087.573,143.906,17169.878,134.584
O,8,13,21,5,7389.374,0.571,8062.035,12.0,21008654.95,12.882,8109.64,12.134
F,9,12,21,3,7738.293,0.086,-47.605,1.8,20999948.894,1.932,5684.171,1.8
Ne,10,11,21,1,7971.713,0.002,-5731.776,0.038,20993846.685,0.041,-3547.145,0.09
Na,11,10,21,-1,7765.547,0.005,-2184.631,0.098,20997654.702,0.105,-13088.48,0.761
Mg,12,9,21,-3,7105.031,0.036,10903.85,0.755,21011705.764,0.81,-16086.0,596.0
Al,13,8,21,-5,6302.0,28.0,26990.0,596.0,21028975.0,640.0,,
C,6,16,22,10,5421.077,10.522,53611.197,231.49,22057553.99,248.515,21846.396,311.063
N,7,15,22,8,6378.534,9.445,31764.801,207.779,22034100.918,223.06,22481.768,215.435
O,8,14,22,6,7364.871,2.587,9283.033,56.921,22009965.746,61.107,6489.66,58.256
F,9,13,22,4,7624.295,0.564,2793.373,12.399,22002998.809,13.31,10818.092,12.399
Ne,10,12,22,2,8080.465,0.001,-8024.719,0.018,21991385.109,0.018,-2843.207,0.171
Na,11,11,22,0,7915.667,0.008,-5181.511,0.171,21994437.418,0.183,-4781.578,0.321
Mg,12,10,22,-2,7662.761,0.014,-399.933,0.313,21999570.654,0.335,-18601.0,401.0
Al,13,9,22,-4,6782.0,18.0,18201.0,401.0,22019540.0,430.0,-15137.0,643.0
Si,14,8,22,-6,6058.0,23.0,33338.0,503.0,22035790.0,540.0,,
C,6,17,23,11,5077.0,43.0,64171.0,997.0,23068890.0,1070.0,27450.0,1082.0
N,7,16,23,9,6236.671,18.286,36720.425,420.57,23039421.0,451.5,22099.056,437.827
O,8,15,23,7,7163.485,5.292,14621.369,121.712,23015696.686,130.663,11336.106,126.19
F,9,14,23,5,7622.344,1.449,3285.263,33.32,23003526.874,35.77,8439.312,33.321
Ne,10,13,23,3,7955.256,0.005,-5154.049,0.104,22994466.9,0.112,4375.804,0.104
Na,11,12,23,1,8111.493,0.0,-9529.85248,0.00181,22989769.28199,0.00194,-4056.34,0.158
Mg,12,11,23,-1,7901.115,0.007,-5473.513,0.158,22994123.941,0.17,-12221.583,0.379
Al,13,10,23,-3,7335.727,0.015,6748.07,0.345,23007244.351,0.37,-16949.0,503.0
Si,14,9,23,-5,6565.0,22.0,23697.0,503.0,23025440.0,540.0,,
N,7,17,24,10,5887.0,17.0,46938.0,401.0,24050390.0,430.0,28438.0,433.0
O,8,16,24,8,7039.685,6.87,18500.402,164.874,24019861.0,177.0,10955.887,191.633
F,9,15,24,6,7463.582,4.07,7544.515,97.67,24008099.37,104.853,13496.161,97.672
Ne,10,14,24,4,7993.325,0.021,-5951.646,0.513,23993610.645,0.55,2466.255,0.513
Na,11,13,24,2,8063.488,0.001,-8417.901,0.017,23990963.011,0.017,5515.669,0.021
Mg,12,12,24,0,8260.709,0.001,-13933.569,0.013,23985041.697,0.014,-13884.704,0.233
Al,13,11,24,-2,7649.582,0.01,-48.865,0.233,23999947.541,0.25,-10794.06,19.473
Si,14,10,24,-4,7167.232,0.811,10745.195,19.472,24011535.441,20.904,-22574.0,503.0
P,15,9,24,-6,6194.0,21.0,33320.0,503.0,24035770.0,540.0,,
N,7,18,25,11,5613.0,20.0,55983.0,503.0,25060100.0,540.0,28654.0,529.0
O,8,17,25,9,6727.805,6.603,27329.027,165.084,25029338.919,177.225,15994.862,191.191
F,9,16,25,7,7336.306,3.858,11334.166,96.442,25012167.727,103.535,13369.667,100.721
Ne,10,15,25,5,7839.799,1.162,-2035.502,29.045,24997814.799,31.181,7322.312,29.07
Na,11,14,25,3,8101.397,0.048,-9357.813,1.2,24989953.973,1.288,3834.969,1.201
Mg,12,13,25,1,8223.502,0.002,-13192.783,0.047,24985836.964,0.05,-4276.808,0.045
Al,13,12,25,-1,8021.136,0.003,-8915.975,0.065,24990428.306,0.069,-12743.299,10.0
Si,14,11,25,-3,7480.11,0.4,3827.324,10.0,25004108.801,10.735,-15911.0,401.0
P,15,10,25,-5,6812.0,16.0,19738.0,401.0,25021190.0,430.0,,
O,8,18,26,10,6497.478,6.344,34661.037,164.95,26037210.155,177.081,16012.161,198.932
F,9,17,26,8,7083.24,4.277,18648.875,111.199,26020020.392,119.377,18167.762,112.716
Ne,10,16,26,6,7751.91,0.709,481.114,18.429,26000516.496,19.784,7341.893,18.758
Na,11,15,26,4,8004.201,0.135,-6860.78,3.502,25992634.649,3.759,9353.763,3.502
Mg,12,14,26,2,8333.87,0.001,-16214.542,0.03,25982592.971,0.032,-4004.391,0.063
Al,13,13,26,0,8149.765,0.003,-12210.151,0.067,25986891.863,0.071,-5069.136,0.085
Si,14,12,26,-2,7924.708,0.004,-7141.015,0.108,25992333.804,0.115,-18114.0,196.0
P,15,11,26,-4,7198.0,8.0,10973.0,196.0,26011780.0,210.0,-16106.0,627.0
S,16,10,26,-6,6548.0,23.0,27079.0,596.0,26029070.0,640.0,,
O,8,19,27,11,6185.0,19.0,44670.0,500.0,27047955.0,537.0,19220.0,634.0
F,9,18,27,9,6867.932,14.438,25450.279,389.83,27027322.0,418.5,18399.37,400.258
Ne,10,17,27,7,7520.414,3.362,7050.909,90.77,27007569.462,97.445,12568.699,90.847
Na,11,16,27,5,7956.946,0.138,-5517.79,3.726,26994076.408,4.0,9068.821,3.727
Mg,12,15,27,3,8263.852,0.002,-14586.611,0.05,26984340.628,0.053,2610.251,0.069
Al,13,14,27,1,8331.553,0.002,-17196.861,0.047,26981538.408,0.05,-4812.359,0.096
Si,14,13,27,-1,8124.341,0.004,-12384.503,0.107,26986704.688,0.115,-11662.044,26.34
P,15,12,27,-3,7663.438,0.976,-722.458,26.34,26999224.409,28.277,-17750.0,400.0
S,16,11,27,-5,6977.0,15.0,17028.0,401.0,27018280.0,430.0,,
O,8,20,28,12,5988.0,25.0,52080.0,699.0,28055910.0,750.0,18338.0,802.0
F,9,19,28,10,6614.792,14.037,33741.596,393.024,28036223.095,421.928,22441.859,412.748
Ne,10,18,28,8,7388.346,4.502,11299.737,126.068,28012130.767,135.339,12288.052,126.483
Na,11,17,28,6,7799.264,0.366,-988.315,10.246,27998939.0,11.0,14030.529,10.44
Mg,12,16,28,4,8272.413,0.071,-15018.845,2.001,27983876.606,2.148,1831.8,2.0
Al,13,15,28,2,8309.894,0.003,-16850.645,0.077,27981910.087,0.083,4642.15,0.077
Si,14,14,28,0,8447.744,0.0,-21492.7943,0.00049,27976926.53499,0.00052,-14345.055,1.152
P,15,13,28,-2,7907.479,0.041,-7147.74,1.152,27992326.585,1.236,-11220.945,160.004
S,16,12,28,-4,7478.79,5.714,4073.206,160.0,28004372.766,171.767,-23443.0,617.0
Cl,17,11,28,-6,6614.0,21.0,27516.0,596.0,28029540.0,640.0,,
F,9,20,29,11,6444.031,18.116,40150.186,525.363,29043103.0,564.0,21750.385,546.221
Ne,10,19,29,9,7167.067,5.155,18399.801,149.505,29019753.0,160.5,15719.807,149.685
Na,11,18,29,7,7682.151,0.253,2679.994,7.337,29002877.092,7.876,13282.824,13.557
Mg,12,17,29,5,8113.202,0.393,-10602.829,11.4,28988617.393,12.238,7604.931,11.405
Al,13,16,29,3,8348.464,0.012,-18207.76,0.345,28980453.164,0.37,3687.318,0.345
Si,14,15,29,1,8448.635,0.0,-21895.07838,0.00056,28976494.66525,0.0006,-4942.23,0.359
P,15,14,29,-1,8251.236,0.012,-16952.848,0.359,28981800.368,0.385,-13796.432,50.001
S,16,13,29,-3,7748.52,1.724,-3156.416,50.0,28996611.448,53.677,-16318.592,195.192
Cl,17,12,29,-5,7158.832,6.506,13162.176,188.68,29014130.178,202.555,,
F,9,21,30,12,6233.0,20.0,48112.0,596.0,30051650.0,640.0,24832.0,648.0
Ne,10,20,30,10,7034.531,8.442,23280.117,253.25,30024992.235,271.875,14805.448,253.295
Na,11,19,30,8,7501.968,0.158,8474.67,4.727,30009097.932,5.074,17358.49,5.85
Mg,12,18,30,6,8054.506,0.115,-8883.82,3.447,29990462.826,3.7,6981.024,4.496
Al,13,17,30,4,8261.128,0.096,-15864.844,2.888,29982968.388,3.1,8568.116,2.888
Si,14,16,30,2,8520.654,0.001,-24432.96,0.022,29973770.136,0.023,-4232.106,0.061
P,15,15,30,0,8353.506,0.002,-20200.854,0.065,29978313.489,0.069,-6141.601,0.196
S,16,14,30,-2,8122.707,0.007,-14059.253,0.206,29984906.769,0.221,-18502.0,196.0
Cl,17,13,30,-4,7480.0,7.0,4443.0,196.0,30004770.0,210.0,-16488.0,284.0
Ar,18,12,30,-6,6904.204,6.872,20931.147,206.155,30022470.511,221.316,,
F,9,22,31,13,6033.0,18.0,56143.0,546.0,31060272.0,587.0,24961.0,608.0
Ne,10,21,31,11,6813.09,8.587,31181.591,266.195,31033474.816,285.772,18935.559,266.562
Na,11,20,31,9,7398.677,0.451,12246.031,13.972,31013146.656,15.0,15368.182,14.307
Mg,12,19,31,7,7869.188,0.099,-3122.151,3.074,30996648.232,3.3,11828.555,3.801
Al,13,18,31,5,8225.517,0.072,-14950.706,2.236,30983949.756,2.4,7998.33,2.236
Si,14,17,31,3,8458.291,0.001,-22949.036,0.043,30975363.194,0.046,1491.505,0.043
P,15,16,31,1,8481.167,0.0,-24440.54095,0.00067,30973761.99863,0.00072,-5398.016,0.229
S,16,15,31,-1,8281.8,0.007,-19042.525,0.229,30979557.007,0.246,-12007.974,3.454
Cl,17,14,31,-3,7869.209,0.111,-7034.551,3.447,30992448.098,3.7,-18360.0,200.0
Ar,18,13,31,-5,7252.0,6.0,11325.0,200.0,31012158.0,215.0,,
Ne,10,22,32,12,6671.0,16.0,36999.0,503.0,32039720.0,540.0,18359.0,504.0
Na,11,21,32,10,7219.881,1.164,18640.151,37.26,32020011.026,40.0,19469.051,37.402
Mg,12,20,32,8,7803.84,0.102,-828.9,3.26,31999110.139,3.5,10270.467,7.879
Al,13,19,32,6,8100.344,0.224,-11099.367,7.173,31988084.339,7.7,12978.319,7.179
Si,14,18,32,4,8481.468,0.009,-24077.686,0.298,31974151.539,0.32,227.188,0.301
P,15,17,32,2,8464.12,0.001,-24304.874,0.04,31973907.643,0.042,1710.66,0.04
S,16,16,32,0,8493.129,0.0,-26015.53355,0.00132,31972071.17443,0.00141,-12680.86,0.562
Cl,17,15,32,-2,8072.404,0.018,-13334.674,0.562,31985684.637,0.603,-11134.323,1.857
Ar,18,14,32,-4,7700.008,0.055,-2200.351,1.77,31997637.826,1.9,-23299.0,401.0
K,19,13,32,-6,6947.0,13.0,21098.0,401.0,32022650.0,430.0,,
Ne,10,23,33,13,6440.0,18.0,45997.0,596.0,33049380.0,640.0,22217.0,747.0
Na,11,22,33,11,7089.926,13.634,23780.11,449.912,33025529.0,483.0,18817.813,449.921
Mg,12,21,33,9,7636.455,0.088,4962.297,2.888,33005327.245,3.1,13459.677,7.559
Al,13,20,33,7,8020.616,0.212,-8497.38,6.986,32990877.687,7.5,12016.945,7.021
Si,14,19,33,5,8361.059,0.021,-20514.325,0.699,32977976.964,0.75,5823.021,1.295
P,15,18,33,3,8513.806,0.033,-26337.346,1.09,32971725.694,1.17,248.508,1.09
S,16,17,33,1,8497.63,0.0,-26585.85434,0.00135,32971458.90985,0.00145,-5582.517,0.391
Cl,17,16,33,-1,8304.755,0.012,-21003.337,0.391,32977451.989,0.419,-11619.044,0.56
Ar,18,15,33,-3,7928.955,0.012,-9384.292,0.401,32989925.547,0.43,-16426.0,196.0
K,19,14,33,-5,7407.0,6.0,7042.0,196.0,33007560.0,210.0,,
Ne,10,24,34,14,6287.0,15.0,52842.0,513.0,34056728.0,551.0,21161.0,789.0
Na,11,23,34,12,6886.437,17.63,31680.111,599.416,34034010.0,643.5,23356.764,600.112
Mg,12,22,34,10,7550.39,0.849,8323.348,28.876,34008935.481,31.0,11323.637,29.039
Al,13,21,34,8,7860.428,0.09,-3000.289,3.074,33996779.057,3.3,16956.563,14.448
Si,14,20,34,6,8336.141,0.415,-19956.852,14.118,33978575.437,15.155,4591.847,14.141
P,15,19,34,4,8448.185,0.024,-24548.698,0.81,33973645.887,0.87,5382.987,0.812
S,16,18,34,2,8583.498,0.001,-29931.685,0.045,33967867.012,0.047,-5491.603,0.038
Cl,17,17,34,0,8398.97,0.001,-24440.082,0.049,33973762.491,0.052,-6061.792,0.063
Ar,18,16,34,-2,8197.672,0.002,-18378.29,0.078,33980270.093,0.083,-17158.0,196.0
K,19,15,34,-4,7670.0,6.0,-1220.0,196.0,33998690.0,210.0,-15072.0,357.0
Ca,20,14,34,-6,7204.0,9.0,13851.0,298.0,34014870.0,320.0,,
Na,11,24,35,13,6733.0,19.0,38231.0,670.0,35041043.0,720.0,22592.0,723.0
Mg,12,23,35,11,7356.233,7.705,15639.784,269.668,35016790.0,289.5,15863.512,269.768
Al,13,22,35,9,7787.124,0.21,-223.728,7.359,34999759.817,7.9,14167.729,36.605
Si,14,21,35,7,8169.563,1.024,-14391.457,35.857,34984550.134,38.494,10466.342,35.905
P,15,20,35,5,8446.249,0.053,-24857.799,1.866,34973314.053,2.003,3988.407,1.867
S,16,19,35,3,8537.85,0.001,-28846.206,0.04,34969032.322,0.043,167.322,0.026
Cl,17,18,35,1,8520.278,0.001,-29013.528,0.035,34968852.694,0.038,-5966.243,0.679
Ar,18,17,35,-1,8327.461,0.019,-23047.284,0.68,34975257.721,0.73,-11874.394,0.852
K,19,16,35,-3,7965.84,0.015,-11172.891,0.512,34988005.407,0.55,-15961.0,196.0
Ca,20,15,35,-5,7487.0,6.0,4788.0,196.0,35005140.0,210.0,,
Na,11,25,36,14,6546.0,19.0,46303.0,678.0,36049708.0,728.0,25923.0,967.0
Mg,12,24,36,12,7244.419,19.173,20380.157,690.237,36021879.0,741.0,14429.774,706.243
Al,13,23,36,10,7623.515,4.153,5950.384,149.505,36006388.0,160.5,18386.508,165.851
Si,14,22,36,8,8112.519,1.994,-12436.124,71.797,35986649.271,77.077,7814.911,72.985
P,15,21,36,6,8307.868,0.364,-20251.034,13.114,35978259.619,14.078,10413.096,13.112
S,16,20,36,4,8575.389,0.005,-30664.131,0.188,35967080.699,0.201,-1142.126,0.189
Cl,17,19,36,2,8521.931,0.001,-29522.005,0.036,35968306.822,0.038,709.535,0.045
Ar,18,18,36,0,8519.909,0.001,-30231.54,0.027,35967545.105,0.028,-12814.475,0.342
K,19,17,36,-2,8142.219,0.009,-17417.065,0.341,35981302.01,0.366,-10965.916,40.001
Ca,20,16,36,-4,7815.879,1.111,-6451.149,40.0,35993074.406,42.941,-21802.0,301.0
Sc,21,15,36,-6,7189.0,8.0,15351.0,298.0,36016480.0,320.0,,
Na,11,26,37,15,6392.0,19.0,53534.0,687.0,37057471.0,737.0,25323.0,980.0
Mg,12,25,37,13,7055.111,18.89,28211.474,698.947,37030286.265,750.35,18401.911,721.814
Al,13,24,37,11,7531.315,4.871,9809.563,180.244,37010531.0,193.5,16381.075,213.168
Si,14,23,37,9,7952.903,3.076,-6571.511,113.809,36992945.191,122.179,12424.486,119.969
P,15,22,37,7,8267.555,1.026,-18995.998,37.948,36979606.956,40.738,7900.419,37.947
S,16,21,37,5,8459.935,0.005,-26896.417,0.198,36971125.507,0.212,4865.121,0.196
Cl,17,20,37,3,8570.281,0.001,-31761.538,0.052,36965902.584,0.055,-813.873,0.2
Ar,18,19,37,1,8527.139,0.006,-30947.664,0.207,36966776.314,0.221,-6147.465,0.227
K,19,18,37,-1,8339.847,0.003,-24800.199,0.094,36973375.889,0.1,-11664.133,0.641
Ca,20,17,37,-3,8003.456,0.017,-13136.066,0.634,36985897.852,0.68,-16656.0,300.0
Sc,21,16,37,-5,7532.0,8.0,3520.0,300.0,37003779.0,322.0,,
Mg,12,26,38,14,6928.0,13.0,34074.0,503.0,38036580.0,540.0,17864.0,627.0
Al,13,25,38,12,7377.097,9.854,16209.859,374.461,38017402.0,402.0,20380.157,388.847
Si,14,24,38,10,7892.829,2.758,-4170.299,104.793,37995523.0,112.5,10451.265,127.474
P,15,23,38,8,8147.274,1.91,-14621.563,72.581,37984303.105,77.918,12239.64,72.934
S,16,22,38,6,8448.782,0.189,-26861.203,7.172,37971163.31,7.699,2936.9,7.171
Cl,17,21,38,4,8505.481,0.003,-29798.103,0.098,37968010.418,0.105,4916.718,0.218
Ar,18,20,38,2,8614.28,0.005,-34714.821,0.195,37962732.104,0.209,-5914.066,0.045
K,19,19,38,0,8438.058,0.005,-28800.755,0.195,37969081.116,0.209,-6742.256,0.063
Ca,20,18,38,-2,8240.043,0.005,-22058.499,0.194,37976319.226,0.208,-17809.0,200.0
Sc,21,17,38,-4,7751.0,5.0,-4249.0,200.0,37995438.0,215.0,-15119.0,361.0
Ti,22,16,38,-6,7332.0,8.0,10870.0,300.0,38011669.0,322.0,,
Mg,12,27,39,15,6747.0,13.0,42275.0,513.0,39045384.0,551.0,21625.0,650.0
Al,13,26,39,13,7281.0,10.0,20650.0,400.0,39022169.0,429.0,18330.0,422.0
Si,14,25,39,11,7730.979,3.475,2320.352,135.532,39002491.0,145.5,15094.986,176.232
P,15,24,39,9,8097.969,2.888,-12774.634,112.645,38986285.865,120.929,10388.033,123.243
S,16,23,39,7,8344.269,1.282,-23162.667,50.0,38975133.852,53.677,6637.538,50.03
Cl,17,22,39,5,8494.402,0.044,-29800.205,1.732,38968008.162,1.859,3441.985,5.292
Ar,18,21,39,3,8562.598,0.128,-33242.19,5.0,38964313.039,5.367,565.0,5.0
