Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
Nb,41,54,95,13,8647.212,0.005,-86786.258,0.508,94906831.115,0.545,925.601,0.494
Mo,42,53,95,11,8648.72,0.001,-87711.858,0.123,94905837.442,0.132,-1690.518,5.078
Tc,43,52,95,9,8622.69,0.053,-86021.341,5.08,94907652.287,5.453,-2563.596,10.531
Ru,44,51,95,7,8587.47,0.1,-83457.745,9.502,94910404.42,10.2,-5117.138,10.266
Rh,45,50,95,5,8525.37,0.041,-78340.606,3.886,94915897.895,4.171,-8374.706,4.928
Pd,46,49,95,3,8428.98,0.032,-69965.9,3.031,94924888.512,3.253,-10369.0,298.0
Ag,47,48,95,1,8312.0,3.0,-59597.0,298.0,94936020.0,320.0,-12966.0,499.0
Cd,48,47,95,-1,8167.0,4.0,-46631.0,401.0,94949940.0,430.0,,
Br,35,61,96,26,8184.0,3.0,-38163.0,298.0,95959030.0,320.0,14916.0,299.0
Kr,36,60,96,24,8330.851,0.213,-53079.678,20.493,95943016.618,22.0,8274.671,20.765
Rb,37,59,96,22,8408.896,0.035,-61354.349,3.353,95934133.393,3.599,11569.808,9.115
Sr,38,58,96,20,8521.265,0.088,-72924.157,8.475,95921712.692,9.098,5411.738,9.726
Y,39,57,96,18,8569.488,0.063,-78335.895,6.088,95915902.953,6.535,7102.951,6.087
Zr,40,56,96,16,8635.327,0.001,-85438.846,0.114,95908277.621,0.122,163.971,0.1
Nb,41,55,96,14,8628.886,0.002,-85602.816,0.147,95908101.591,0.157,3192.059,0.107
Mo,42,54,96,12,8653.987,0.001,-88794.876,0.12,95904674.774,0.128,-2973.242,5.145
Tc,43,53,96,10,8614.866,0.054,-85821.634,5.146,95907866.681,5.524,258.738,5.146
Ru,44,52,96,8,8609.412,0.002,-86080.372,0.17,95907588.914,0.182,-6392.654,10.0
Rh,45,51,96,6,8534.673,0.104,-79687.718,10.001,95914451.71,10.737,-3504.312,10.844
Pd,46,50,96,4,8490.02,0.044,-76183.406,4.194,95918213.744,4.502,-11671.771,90.181
Ag,47,49,96,2,8360.29,0.938,-64511.636,90.084,95930743.906,96.708,-8939.0,411.0
Cd,48,48,96,0,8259.0,4.0,-55573.0,401.0,95940340.0,430.0,-17683.0,641.0
In,49,47,96,-2,8067.0,5.0,-37890.0,500.0,95959323.0,537.0,,
Br,35,62,97,27,8140.0,4.0,-34055.0,401.0,96963440.0,430.0,13368.0,421.0
Kr,36,61,97,25,8269.864,1.344,-47423.492,130.409,96949088.784,140.0,11095.645,130.423
Rb,37,60,97,23,8376.186,0.02,-58519.137,1.912,96937177.118,2.052,10062.317,3.888
Sr,38,59,97,21,8471.856,0.035,-68581.454,3.385,96926374.776,3.633,7539.969,7.521
Y,39,58,97,19,8541.522,0.069,-76121.424,6.719,96918280.286,7.213,6821.237,6.707
Zr,40,57,97,17,8603.779,0.004,-82942.661,0.414,96910957.386,0.444,2663.115,4.248
Nb,41,56,97,15,8623.168,0.044,-85605.776,4.249,96908098.414,4.561,1938.915,4.248
Mo,42,55,97,13,8635.092,0.002,-87544.691,0.165,96906016.903,0.176,-320.266,4.117
Tc,43,54,97,11,8623.725,0.042,-87224.424,4.118,96906360.723,4.42,-1103.873,4.956
Ru,44,53,97,9,8604.279,0.028,-86120.552,2.763,96907545.779,2.965,-3523.0,35.355
Rh,45,52,97,7,8559.894,0.366,-82597.552,35.463,96911327.876,38.071,-4791.709,35.792
Pd,46,51,97,5,8502.43,0.05,-77805.843,4.844,96916471.987,5.2,-6980.0,110.0
Ag,47,50,97,3,8422.405,1.135,-70825.843,110.107,96923965.326,118.204,-10372.0,318.0
Cd,48,49,97,1,8307.0,3.0,-60454.0,298.0,96935100.0,320.0,-13264.0,499.0
In,49,48,97,-1,8163.0,4.0,-47189.0,401.0,96949340.0,430.0,,
Br,35,63,98,28,8080.0,4.0,-28250.0,400.0,97969672.0,429.0,16061.0,499.0
Kr,36,62,98,26,8236.0,3.0,-44311.0,298.0,97952430.0,320.0,10058.0,299.0
Rb,37,61,98,24,8330.729,0.164,-54369.146,16.083,97941632.317,17.265,12053.958,16.403
Sr,38,60,98,22,8445.745,0.033,-66423.104,3.226,97928691.86,3.463,5871.673,8.558
Y,39,59,98,20,8497.677,0.081,-72294.777,7.929,97922388.36,8.511,8991.932,11.576
Zr,40,58,98,18,8581.448,0.086,-81286.709,8.451,97912735.124,9.072,2237.89,9.819
Nb,41,57,98,16,8596.301,0.051,-83524.598,5.001,97910332.65,5.369,4591.373,5.003
Mo,42,56,98,14,8635.168,0.002,-88115.972,0.174,97905403.608,0.186,-1683.766,3.377
Tc,43,55,98,12,8610.004,0.034,-86432.205,3.38,97907211.205,3.628,1792.653,7.157
Ru,44,54,98,10,8620.313,0.066,-88224.858,6.463,97905286.713,6.937,-5049.653,10.0
Rh,45,53,98,8,8560.803,0.121,-83175.205,11.906,97910707.74,12.782,-1854.229,12.816
